,Name,Description,Tags
10,Creating a Product Card,"Objective: Learn to use different types of CSS selectors.
	- Basic Structure and Linking CSS
		- Create a new HTML file named product.html.
		- Define the basic structure of an HTML document.
		- Create a new CSS file named product.css.
		- Link the CSS file to the HTML file inside the <head> tag using the <link> tag.
	- Styling by Element and Descendant Selector
		- Add a <div> element with the class ""product-card"".
		- Inside this <div>, add an <h3> tag with the product name.
		- Add a <p> tag with the product description.
		- In the CSS file, use the descendant selector to style the <h3> and <p> tags inside the ""product-card"" class.
	- Styling by Attribute Selector
		- Add a <button> element with the attribute type=""button"" and the content ""Add to Cart"".
		- In the CSS file, use the attribute selector to style the button with a background color and padding.
	- Styling by Pseudo-classes
		- Add a list of product features using an unordered list <ul> and list items <li>.
		- In the CSS file, use the pseudo-class :hover to change the background color of the list items when hovered over.","['CSS', 'Selectors']"
11,Styling a Navigation Menu,"Objective: Learn to use advanced CSS selectors.
	- Basic Structure and Linking CSS
		- Create a new HTML file named navigation.html.
		- Define the basic structure of an HTML document.
		- Create a new CSS file named navigation.css.
		- Link the CSS file to the HTML file inside the <head> tag using the <link> tag.
	- Styling by Element, Class, and ID Selectors
		- Add a <nav> element with an unordered list <ul> and list items <li>.
		- Add <a> tags inside each list item for the menu links.
		- In the CSS file, use the element selector to remove the default list style of the unordered list.
		- Use the class selector to style the <nav> element with a background color and padding.
		- Use the ID selector to style a specific link differently.
	- Styling by Pseudo-elements
		- Use the ::before pseudo-element to add a decorative element before each list item.
		- In the CSS file, style the ::before pseudo-element with content, color, and margin.
	- Styling by Combinators
		- Add a submenu inside one of the list items with another unordered list <ul> and list items <li>.
		- Use the child combinator to style only the direct children of the main <ul> list.
		- Use the adjacent sibling combinator to style a list item that follows another list item.","['CSS', 'Selectors']"
12,Styling a Personal Biography,"Objective: Learn to use basic CSS properties.
	- Basic Structure and Linking CSS
		- Create a new HTML file named biography.html.
		- Define the basic structure of an HTML document.
		- Create a new CSS file named biography.css.
		- Link the CSS file to the HTML file inside the <head> tag using the <link> tag.
	- Setting Text Color and Background Color
		- Add an <h1> tag with the content ""John Doe"".
		- In the CSS file, set the text color of the <h1> tag to a color of your choice.
		- Set the background color of the <body> tag to a light color.
	- Font-family and Font-size
		- Add a <p> tag with a brief biography of John Doe.
		- In the CSS file, set the font-family of the <p> tag to Arial.
		- Set the font-size of the <p> tag to 16px.
	- Font-weight and Font-style
		- Add another <p> tag with a quote by John Doe.
		- In the CSS file, set the font-weight of the quote to bold.
		- Set the font-style of the quote to italic.","['CSS', 'Basic CSS Properties']"
13,Styling a Travel Blog Post,"Objective: Learn to use various CSS properties.
	- Basic Structure and Linking CSS
		- Create a new HTML file named travel-blog.html.
		- Define the basic structure of an HTML document.
		- Create a new CSS file named travel-blog.css.
		- Link the CSS file to the HTML file inside the <head> tag using the <link> tag.
	- Setting up the Blog Post Content
		- Inside the <body> tag, add an <h1> tag with the title ""My Amazing Journey"".
		- Add a <div> element with the class ""post-content"" to wrap the content.
		- Inside the <div>, add an <h2> tag with the subtitle ""Exploring the Wonders of the World"".
		- Add a <p> tag with a brief introduction to the blog post.
		- Add another <p> tag with a detailed description of the journey.
		- Add a quote within the detailed description using a <blockquote> tag.
	- Applying CSS Properties
		- In the CSS file, set the text color of the <h1> tag to a color of your choice.
		- Set the background color of the <body> tag to a light color.
		- Set the font-family of the entire document to ""Arial, sans-serif"".
		- Set the font-size of the <h1> tag to 36px and the font-weight to bold.
		- Set the font-size of the <h2> tag to 28px and the font-weight to bold.
		- Set the font-size of the <p> tags to 16px and the line-height to 1.8.
		- Set the font-style of the <blockquote> tag to italic.
		- Set the text-decoration of the <h1> and <h2> tags to underline.
		- Set the text-align of the <h1> tag to center and the <h2> tag to left.
		- Set the background color of the .post-content div to a light shade and add some padding around it.","['CSS', 'Basic CSS Properties']"
14,[Changed] Styling a News Article,"Objective: Learn to use basic CSS properties.
	- Basic Structure and Linking CSS
		- Create a new HTML file named news.html.
		- Define the basic structure of an HTML document.
		- Create a new CSS file named news.css.
		- Link the CSS file to the HTML file inside the <head> tag using the <link> tag.
	- Setting Up the Article Structure
		- Inside the <body> tag, add a <div> element with the class ""article-container"".
		- Inside the ""article-container"" div, add a <h1> tag with the title of the news article: ""Breaking News: Major Event Unfolds"".
		- Below the title, add a <div> element with the class ""article-meta"".
		- Inside the ""article-meta"" div, add a <span> tag for the author: ""By Jane Smith"".
		- Add another <span> tag for the publication date: ""August 10, 2024"".
		- Below the ""article-meta"" div, add a <p> tag with a summary of the news article.
		- Add another <p> tag with the detailed content of the article.
	- Applying Color and Background Color
		- In the CSS file, set the text color of the <h1> tag to a dark color.
		- Set the background color of the ""article-container"" to a light shade.
		- Set the text color of the ""article-meta"" to a gray shade.
	- Font-family and Font-size
		- Set the font-family of the entire document to ""Georgia, serif"".
		- Set the font-size of the <h1> tag to 28px.
		- Set the font-size of the ""article-meta"" to 14px.
		- Set the font-size of the <p> tags to 18px.
	- Font-weight and Font-style
		- Set the font-weight of the <h1> tag to bold.
		- Set the font-weight of the ""article-meta"" to normal.
		- Set the font-style of the ""article-meta"" to italic.
	- Text-decoration and Text-align
		- Set the text-decoration of the ""article-meta"" to none.
		- Set the text-align of the ""article-container"" to justify.
	- Line-height and Spacing
		- Set the line-height of the <p> tags to 1.6.
		- Add padding around the ""article-container"" to ensure the content does not touch the edges.","['CSS', 'Basic CSS Properties']"
15,[New] Exploring Inspect Element,"Objective: Use the browser's ""Inspect Element"" tool to explore HTML elements, CSS styles, and the box model in detail, focusing on the Elements tab, Styles tab, and Computed tab.
	- Basic Structure and Linking CSS
		- Create a new HTML file named inspect-element.html.
		- Define the basic structure of an HTML document.
		- Create a new CSS file named inspect-element.css.
		- Link the CSS file to the HTML file using the <link> tag inside the <head> section.
	- Creating a Sample Structure
		- Inside the <body>, add a <div> element with the class ""content-container"".
		- Inside this ""content-container"" div, add an <h1> tag with the content ""Inspect Element Demo"".
		- Below the <h1> tag, add a <p> tag with the content ""This paragraph is used to demonstrate the 'Inspect Element' tool in detail."".
		- Below the <p> tag, add a <div> element with the class ""nested-box"".
		- Inside this ""nested-box"" div, add a <p> tag with the content ""Nested Box with a paragraph."".
	- Styling the Elements
		- In the CSS file, set the border of the ""content-container"" class to 2px solid #333.
		- Set the padding to 15px.
		- Set the margin to 20px.
		- Set the background color to #f0f0f0.
		- Set the font-family of the entire document to ""Arial, sans-serif"".
		- For the ""nested-box"" class, set the border to 1px solid #007BFF.
		- Set the padding to 10px.
		- Set the margin to 10px 0.
	- Exploring the Elements Tab
		- Right-click on the ""content-container"" div and select ""Inspect"" to open the Elements tab.
		- Observe the HTML structure and how the elements are nested.
		- Expand and collapse elements to understand the document structure.
	- Examining the Styles Tab
		- In the Elements tab, click on the ""content-container"" div.
		- In the Styles tab, observe the CSS properties applied to this element.
		- Note the inheritance and overriding of styles. Observe how specific styles are crossed out when overridden by other rules.
	- Analyzing the Computed Tab
		- Click on the Computed tab for the ""content-container"" div.
		- Observe the list of all CSS properties computed for this element.
		- Pay special attention to the box model diagram at the top, which displays the content, padding, border, and margin.
	- Observing the Box Model Diagram
		- In the Computed tab, hover over different areas of the box model diagram to see the corresponding area highlighted in the browser.
		- Note the specific dimensions for content, padding, border, and margin as displayed.
		- Compare these values with the ones specified in the CSS file and observe how they contribute to the total space occupied by the element.
	- Comparing Elements
		- Use the same process to inspect the ""nested-box"" div and its content.
		- Compare the styles and computed values with those of the ""content-container"" div.
		- Observe any differences in the box model, styles, and overall layout.","['CSS', 'Box Model']"
16,[New] Nested Box Elements,"Objective: Understand the CSS Box Model by creating nested and independent elements, applying borders, padding, and margins to visualize the box structure.
	- Basic Structure and Linking CSS
		- Create a new HTML file named nested-box-elements.html.
		- Define the basic structure of an HTML document.
		- Create a new CSS file named nested-box-elements.css.
		- Link the CSS file to the HTML file using the <link> tag inside the <head> section.
	- Creating the Outer Container
		- Inside the <body>, add a <div> element with the class ""outer-container"".
		- Inside this div, add a <h2> tag with the content ""Outer Container"".
		- In the CSS file, set the border of the ""outer-container"" class to 3px solid #000. Set the padding to 20px and set the margin to 20px auto.
	- Adding Nested Element
		- Inside the ""outer-container"", add a <div> element with the class ""nested-container-1"".
		- Inside this div, add a <h3> tag with the content ""Nested Container 1"".
		- In the CSS file, set the border of the ""nested-container-1"" class to 2px solid #007BFF. Set the padding to 15px and set the margin to 10px.
		- Inside the ""nested-container-1"" div, add another <div> element with the class ""nested-container-2"".
		- Inside this ""nested-container-2"" div, add a <p> tag with the content ""This is Nested Container 2, inside Nested Container 1.""
		- In the CSS file, set the border of the ""nested-container-2"" class to 1px solid #FF5733. Set the padding to 10px and set the margin to 5px.
	- Creating Independent Boxes
		- Below the ""outer-container"", add a <div> element with the class ""independent-box-1"".
		- Inside this div, add a <p> tag with the content ""Independent Box 1"".
		- In the CSS file, set the border of the ""independent-box-1"" class to 2px dashed #00CC66. Set the padding to 10px and set the margin to 15px 0.
		- Below ""independent-box-1"", add another <div> element with the class ""independent-box-2"".
		- Inside this div, add a <p> tag with the content ""Independent Box 2"".
		- In the CSS file, set the border of the ""independent-box-2"" class to 2px dotted #FFCC00. Set the padding to 10px and set the margin to 15px 0.
	- Observing the Box Model using Inspect Element
		- Use the browser's ""Inspect Element"" tool to observe that every HTML element is a box.
		- Note the application of borders, padding, and margins.
		- Observe how each element's content area, padding, border, and margin are displayed and how they affect the total space occupied by the element.","['CSS', 'Box Model']"
17,[Changed] Designing a Call-to-Action Button,"Objective: Understand the CSS Box Model, focusing on box-sizing.
	- Basic Structure and Linking CSS
		- Create a new HTML file named cta-button.html.
		- Define the basic structure of an HTML document.
		- Create a new CSS file named cta-button.css.
		- Link the CSS file to the HTML file inside the <head> tag using the <link> tag.
	- Div and Heading for First Button
		- Inside the <body> tag, add a <div> element with the class ""button-container-1"".
		- Inside this div, add a <h2> tag with the content ""Button 1"".
		- Below the heading, add a <button> element with the class ""cta-button-1"" and the content ""Click Here"".
	- Div and Heading for Second Button
		- Below the first div, add another <div> element with the class ""button-container-2"".
		- Inside this div, add a <h2> tag with the content ""Button 2"".
		- Below the heading, add a <button> element with the class ""cta-button-2"" and the content ""Click Here"".
	- Applying Basic Box Model Properties
		- In the CSS file, define common styles for the ""cta-button-1"" and ""cta-button-2"" classes.
		- Set the border to 2px solid #007BFF.
		- Set the padding to 10px 20px.
		- Set the margin to 20px 0.
		- Set the width to 150px and the height to 50px.
		- Set the background color to #007BFF and text color to #ffffff.
		- Add a cursor property set to pointer and center the text.
	- Box-Sizing Property
		- For the ""cta-button-1"" class, set the box-sizing property to border-box.
		- For the ""cta-button-2"" class, set the box-sizing property to content-box.
	- Observe using Inspect Element
		- Use the browser's ""Inspect Element"" tool to observe the details of both buttons.
		- Check the computed styles to see how the box-sizing property affects the total size of the buttons, especially how padding and border are calculated differently in border-box versus content-box.
		- Compare the dimensions, padding, and border areas as displayed in the ""Inspect Element"" box model visualization.","['CSS', 'Box Model']"
18,[Changed] Creating a Box Sizing Demonstration,"Objective: Understand the CSS Box Model, focusing on box-sizing.
	- Basic Structure and Linking CSS
		- Create a new HTML file named box-sizing.html.
		- Define the basic structure of an HTML document.
		- Create a new CSS file named box-sizing.css.
		- Link the CSS file to the HTML file inside the <head> tag using the <link> tag.
	- Setting up the Box Model Demonstration
		- Inside the <body> tag, add a <div> element with the class ""box-demo-1"".
		- Inside this div, add a <h3> tag with the content ""Box 1: Border-Box"".
		- Below the first div, add another <div> element with the class ""box-demo-2"".
		- Inside this div, add a <h3> tag with the content ""Box 2: Content-Box"".
	- Applying Common Box Model Properties
		- In the CSS file, define common styles for both ""box-demo-1"" and ""box-demo-2"" classes.
		- Set the border to 2px solid #333.
		- Set the height to 150px and the width to 300px.
		- Set the padding to 20px.
		- Set the margin to 20px auto for centering.
		- Set the background color to #f0f0f0.
	- Box-Sizing Property
		- For the ""box-demo-1"" class, set the box-sizing property to border-box.
		- For the ""box-demo-2"" class, set the box-sizing property to content-box.
	- Observe using Inspect Element
		- Use the browser's ""Inspect Element"" tool to observe and document the differences between the two divs.
		- Check the computed styles to see how the box-sizing property affects the total size of the divs.
		- Note how padding and border are included in the total width and height for border-box and how they are added on top of the width and height for content-box.","['CSS', 'Box Model']"
19,Exploring the CSS Display Property,"Objective: Understand the different values of the CSS display property, focusing on block, inline, inline-block, and none, and observe their effects on layout, spacing, and element behavior.
	- Basic Structure and Linking CSS
		- Create a new HTML file named display-property.html.
		- Define the basic structure of an HTML document.
		- Create a new CSS file named display-property.css.
		- Link the CSS file to the HTML file using the <link> tag inside the <head> section.
	- Display: Block
		- Inside the <body>, add a <div> element with the class ""block-element"" containing the text ""Block Element"".
		- Below the ""block-element"" div, add another <div> element with the same class ""block-element"" containing the text ""Another Block Element"".
		- In the CSS file, set the display property of the ""block-element"" class to block.
		- Set a border to 2px solid #333 and add some padding with 10px.
		- Set margin-bottom to 10px.
	- Display: Inline
		- Below the block elements, add three <span> elements with the class ""inline-element"" containing the text ""Inline Element 1"", ""Inline Element 2"", and ""Inline Element 3"".
		- In the CSS file, set the display property of the ""inline-element"" class to inline.
		- Set a border to 1px dashed #007BFF and add some padding with 5px.
	- Display: Inline-Block
		- Below the inline elements, add three <div> elements with the class ""inline-block-element"" containing the text ""Inline-Block 1"", ""Inline-Block 2"", and ""Inline-Block 3"".
		- In the CSS file, set the display property of the ""inline-block-element"" class to inline-block.
		- Set a border to 1px solid #FF5733 and add some padding with 5px.
		- Set a width to 100px.
	- Display: None
		- Below the inline-block elements, add a <div> element with the class ""none-element"" containing the text ""This element is hidden"".
		- In the CSS file, set the display property of the ""none-element"" class to none.
	- Observing the Differences
		- Observe that block elements take up the full width available and start on a new line.
		- Observe that inline elements sit next to each other horizontally and only take up as much width as necessary.
		- Observe that inline-block elements sit next to each other like inline elements but can have set widths and heights like block elements.
		- Observe that elements with display: none do not appear on the page and do not take up any space.","['CSS', 'Display']"
20,Width for Different Display Values,"Objective: Understand how different display values (block, inline, inline-block) affect the width of elements, including default behavior and explicit width settings.
	- Basic Structure and Linking CSS
		- Create a new HTML file named display-width.html.
		- Define the basic structure of an HTML document.
		- Create a new CSS file named display-width.css.
		- Link the CSS file to the HTML file using the <link> tag inside the <head> section.
	- Display: Block
		- Add a <div> element with the class ""block-element-default"" containing the text ""Block Element (Default Width)"".
		- Below it, add another <div> element with the class ""block-element-fixed"" containing the text ""Block Element (Fixed Width)"".
		- In the CSS file, set the display property of both elements to block.
		- Set the border for both classes to 2px solid #333 and add padding with 10px.
		- Set margin-bottom to 10px.
		- For the ""block-element-default"" class, do not set any width. For the ""block-element-fixed"" class, set the width explicitly to 300px.
	- Display: Inline
		- Add three <span> elements with the class ""inline-element-default"" containing the text ""Inline Element (Default Width)"".
		- Below them, add three <span> elements with the class ""inline-element-fixed"" containing the text ""Inline Element (Fixed Width)"".
		- In the CSS file, set the display property of both sets of elements to inline.
		- Set the border for both classes to 1px dashed #007BFF and add padding with 5px.
		- For the ""inline-element-default"" class, do not set any width. For the ""inline-element-fixed"" class, set the width explicitly to 100px.
	- Display: Inline-Block
		- Add three <div> elements with the class ""inline-block-element-default"" containing the text ""Inline-Block Element (Default Width)"".
		- Below them, add three <div> elements with the class ""inline-block-element-fixed"" containing the text ""Inline-Block Element (Fixed Width)"".
		- In the CSS file, set the display property of both sets of elements to inline-block.
		- Set the border for both classes to 1px solid #FF5733 and add padding with 5px.
		- For the ""inline-block-element-default"" class, do not set any width. For the ""inline-block-element-fixed"" class, set the width explicitly to 150px.
	- Observing the Differences in Width
		- Observe that the ""block-element-default"" takes up the full width of its parent container by default (100% width).
		- The ""block-element-fixed"" takes up exactly 300px as set. There is space remaining on its right, still, it doesn't allow another element to sit next to it.
		- Observe that ""inline-element-default"" takes up only as much width as the content requires (auto width).
		- The ""inline-element-fixed"" does not respect the width: 100px setting as inline elements ignore width settings, but they still display the padding and border.
		- Observe that ""inline-block-element-default"" takes up only as much width as the content requires (auto width).
		- The ""inline-block-element-fixed"" respects the width: 150px setting and adjusts accordingly.","['CSS', 'Display']"
21,Default Display Values for HTML Elements,"Objective: Demonstrate the default display property values for different HTML elements, such as <div>, <span>, <a>, <p>, <img>, and <li>. Observe how these default values affect the layout and behavior of elements.
	- Basic Structure and Linking CSS
		- Create a new HTML file named default-display-values.html.
		- Create a new CSS file named default-display-values.css.
		- Link the CSS file to the HTML file using the <link> tag inside the <head> section.
	- Display: Block Elements
		- Add a <div> element with the class ""block-element"" containing the text ""This is a div (block element)"".
		- Add a <p> element with the class ""block-element"" containing the text ""This is a paragraph (block element)"".
		- Set a border for the ""block-element"" class to 2px solid #333.
		- Set the padding to 10px.
		- Set the margin-bottom to 10px.
	- Display: Inline Elements
		- Add a <span> element with the class ""inline-element"" containing the text ""This is a span (inline element)"".
		- Add an <a> element with the class ""inline-element"" containing the text ""This is a link (inline element)"".
		- Set a border for the ""inline-element"" class to 1px dashed #007BFF.
		- Set the padding to 5px.
	- Display: Inline-Block
		- Add an <img> element with the class ""inline-block-element"" and a placeholder image source [src = ""https://via.placeholder.com/100""]. Set the alt attribute to ""This is an image (inline-block element)"".
		- For the ""inline-block-element"" class, set the border to 1px solid #FF5733 and add padding with 5px.
	- List Item Elements
		- Add an unordered list <ul> with three <li> elements, each with the class ""list-item-element"" and containing text like ""List item 1"", ""List item 2"", and ""List item 3"".
		- For the ""list-item-element"" class, set the border to 1px dotted #00CC66 and add padding with 5px.
	- Observing the Default Display Values
		- Observe that, for the <div> and the <p> elements, we have not set any width or display, but still they take up the full width available and start on a new line. This is because their default display value is block.
		- Observe that, the <span> and the <a> elements, sit next to each other horizontally and only take up as much width as necessary. This is because their default display value is inline.
		- Observe that images, by default, behave like inline elements but can be treated as block elements with set width and height. This is because the default value for <img> is inline-block.
		- Observe that list items in an unordered list (<ul>) have a block-like behavior with automatic new lines, but are styled to appear as a list.","['CSS', 'Display']"
